Date,SP500_MOM_3M
2005-04-18,-0.01177230821594023
2005-04-19,-0.013663226258169892
2005-04-20,-0.017306672709916916
2005-04-21,-0.019247104808161296
2005-04-22,-0.020032525023496374
2005-04-25,-0.019754480214636938
2005-04-26,-0.02096431036427343
2005-04-27,-0.021693343606441418
2005-04-28,-0.022201126546672147
2005-04-29,-0.020481774660862505
2005-05-02,-0.01884588193258343
2005-05-03,-0.01760807094111705
2005-05-04,-0.01509961521963985
2005-05-05,-0.015234877521544366
2005-05-06,-0.016519623699532904
2005-05-09,-0.01828177671470017
2005-05-10,-0.019863668926751243
2005-05-11,-0.020108642348933625
2005-05-12,-0.020586570416043802
2005-05-13,-0.023599891777607507
2005-05-16,-0.025335822391720664
2005-05-17,-0.025962887681215185
2005-05-18,-0.02654023658446538
2005-05-19,-0.02589501519059606
2005-05-20,-0.024286130650019354
2005-05-23,-0.02156305059371292
2005-05-24,-0.018287532619383994
2005-05-25,-0.01738485996265632
2005-05-26,-0.01537459928649736
2005-05-27,-0.011523006844525141
2005-05-31,-0.009731610439184024
2005-06-01,-0.007379802272923741
2005-06-02,-0.005842991142335985
2005-06-03,-0.00717328865332959
2005-06-06,-0.00841763548695974
2005-06-07,-0.011054843462314324
2005-06-08,-0.012351798348354537
2005-06-09,-0.012190803362184833
2005-06-10,-0.011219878180450305
2005-06-13,-0.011317417080980607
2005-06-14,-0.00924083325665106
2005-06-15,-0.007033300711994028
2005-06-16,-0.004779370977202491
2005-06-17,-0.00034811201773053967
2005-06-20,0.004650937897567442
2005-06-21,0.010044976324770782
2005-06-22,0.01459389457552549
2005-06-23,0.01778400587045372
2005-06-24,0.01942054364575909
2005-06-27,0.02209211688277781
2005-06-28,0.023284244429296795
2005-06-29,0.023357643099901893
2005-06-30,0.023183832682202234
2005-07-01,0.02244586451923094
2005-07-05,0.021713276835168972
2005-07-06,0.019055324147818298
2005-07-07,0.016093767404525238
2005-07-08,0.016187349864373934
2005-07-11,0.017951475542889804
2005-07-12,0.01867831548084542
2005-07-13,0.02118899598104884
2005-07-14,0.025103835926100992
2005-07-15,0.03099955981942095
2005-07-18,0.035999608506160574
2005-07-19,0.04064416299290685
2005-07-20,0.048315150010577866
2005-07-21,0.0535340245189722
2005-07-22,0.058017484911168135
2005-07-25,0.06054038057219324
2005-07-26,0.06452727523707207
2005-07-27,0.06726376619027
2005-07-28,0.07050849677066391
2005-07-29,0.06972773158044368
2005-08-01,0.06946777394588563
2005-08-02,0.06996922706417485
2005-08-03,0.06728248832227816
2005-08-04,0.06689076150169015
2005-08-05,0.06451305151714633
2005-08-08,0.0625107323469584
2005-08-09,0.06121070928321892
2005-08-10,0.05921138566811921
2005-08-11,0.05718709734178864
2005-08-12,0.0571175206251812
2005-08-15,0.05666867121285668
2005-08-16,0.05340471856104097
2005-08-17,0.05042764460146878
2005-08-18,0.04738126924830153
2005-08-19,0.04523853557641318
2005-08-22,0.043815893113864336
2005-08-23,0.04019834354672491
2005-08-24,0.03688942828515018
2005-08-25,0.03135436687922204
2005-08-26,0.025266603593930338
2005-08-29,0.02116172493197046
2005-08-30,0.017796911326673624
2005-08-31,0.01620361550174896
2005-09-01,0.015995759449793544
2005-09-02,0.015149795651457775
2005-09-06,0.015833075642968097
2005-09-07,0.017353001720507667
2005-09-08,0.01826732308695018
2005-09-09,0.020655581318783887
2005-09-12,0.023437797896212344
2005-09-13,0.023960549074929192
2005-09-14,0.02515131688256287
2005-09-15,0.025204272057989984
2005-09-16,0.024787861303417945
2005-09-19,0.024302016368381963
2005-09-20,0.02192123325597719
2005-09-21,0.018128407148260715
2005-09-22,0.016725522684542683
2005-09-23,0.015096313954542584
2005-09-26,0.013881488461326797
2005-09-27,0.012787354520691352
2005-09-28,0.012501881423421391
2005-09-29,0.014168248058746946
2005-09-30,0.015324248255363026
2005-10-03,0.015899043302607253
2005-10-04,0.016896496445936427
2005-10-05,0.017076109974849263
2005-10-06,0.014238425605212712
2005-10-07,0.010317379174744257
2005-10-10,0.005368942716845959
2005-10-11,0.0010555886787937286
2005-10-12,-0.004345019872634947
2005-10-13,-0.011556126189415627
2005-10-14,-0.017263805510172182
2005-10-17,-0.022258221182224192
2005-10-18,-0.028512105261342513
2005-10-19,-0.03093778070769272
2005-10-20,-0.03378643170115782
2005-10-21,-0.035878733761097584
2005-10-24,-0.035606194293571904
2005-10-25,-0.03571987241140018
2005-10-26,-0.035947784731417576
2005-10-27,-0.03626698790352828
2005-10-28,-0.03642705860944736
2005-10-31,-0.036217144485400574
2005-11-01,-0.03499353170098104
2005-11-02,-0.03415161641620466
2005-11-03,-0.030150454033354136
2005-11-04,-0.026372218409362668
2005-11-07,-0.02448687342759036
2005-11-08,-0.022090001391540836
2005-11-09,-0.019267983409135703
2005-11-10,-0.014742571492504885
2005-11-11,-0.011683443532601579
2005-11-14,-0.007518002838883375
2005-11-15,-0.0034034130814189047
2005-11-16,-0.0006961231398426415
2005-11-17,0.0017253325294281252
2005-11-18,0.004142119164217206
2005-11-21,0.007898226211894477
2005-11-22,0.013024963012422796
2005-11-23,0.01880268297237242
2005-11-25,0.02399659172253883
2005-11-28,0.027654560810135308
2005-11-29,0.030532653501565178
2005-11-30,0.032202641047633526
2005-12-01,0.03472922023254967
2005-12-02,0.036699782308234855
2005-12-05,0.036854365802436576
2005-12-06,0.03600554881144589
2005-12-07,0.03382292612351769
2005-12-08,0.03058821104204281
2005-12-09,0.02686422542044642
2005-12-12,0.025511484353557413
2005-12-13,0.024732343217712227
2005-12-14,0.026009759359793994
